player_id,name,birth_year,nationality,primary_position
6645,Tranquillo Barnetta,1985.0,Switzerland,Midfield
6710,Per Mertesacker,1984.0,Germany,Defender
6717,Giuseppe Colucci,1980.0,Italy,Midfield
6721,Mario Santana,1981.0,Argentina,Attack
6722,Stefano Morrone,1978.0,Italy,Midfield
6750,Maurizio Domizzi,1980.0,Italy,Defender
6791,Kai Herdling,1984.0,Germany,Attack
6792,Luca Antonini,1982.0,Italy,Defender
6793,Angelo Palombo,1981.0,Italy,Midfield
6803,Henri Bedimo,1984.0,Cameroon,Defender
6832,Luciano Zauri,1978.0,Italy,Defender
6838,Henok Goitom,1984.0,Eritrea,Attack
6852,Maurizio Lanzaro,1982.0,Italy,Defender
6855,Georgios Samaras,1985.0,Greece,Attack
6893,Gabriel Tamas,1983.0,Romania,Defender
6970,Cédric Fauré,1979.0,France,Attack
6980,Julien Cardy,1981.0,France,Midfield
6986,Thibault Giresse,1981.0,France,Midfield
7028,Filip Daems,1978.0,Belgium,Defender
7093,Francesco Magnanelli,1984.0,Italy,Midfield
7096,Daniele Gastaldello,1983.0,Italy,Defender
7101,Paolo Sammarco,1983.0,Italy,Midfield
7102,Giorgio Frezzolini,1976.0,Italy,Goalkeeper
7109,Andrea Barzagli,1981.0,Italy,Defender
7161,Jonas Hofmann,1992.0,Germany,Midfield
7330,Steven Reid,1981.0,Ireland,Defender
7337,Alan Tate,1982.0,England,Defender
7353,Juanma Ortiz,1982.0,Spain,Defender
7358,Javier Pinola,1983.0,Argentina,Defender
7427,Ivica Olic,1979.0,Croatia,Attack
7449,Gaël Clichy,1985.0,France,Defender
7451,Mikel Arteta,1982.0,Spain,Midfield
7468,José Javier Barkero,1979.0,Spain,Midfield
7476,Xabi Alonso,1981.0,Spain,Midfield
7480,Joseba Llorente,1979.0,Spain,Attack
7486,Joan Capdevila,1978.0,Spain,Defender
7492,Manuel Pablo,1976.0,Spain,Defender
7499,Lionel Scaloni,1978.0,Argentina,Defender
7501,Juan Carlos Valerón,1975.0,Spain,Midfield
7512,Borja Fernández,1981.0,Spain,Midfield
